Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Viking
2025-12-17;10;22;25;34;40;43;2
2025-12-10;6;11;12;30;34;35;2
2025-12-03;16;17;21;23;24;31;1
2025-11-26;3;14;27;31;34;48;4
2025-11-19;7;9;15;27;32;38;1
2025-11-12;4;29;33;34;44;47;4
2025-11-05;2;6;11;23;45;48;5
2025-10-29;7;17;18;22;29;34;5
2025-10-22;4;8;18;28;30;42;5
2025-10-15;6;12;18;30;36;38;2
2025-10-08;3;7;21;22;30;41;5
2025-10-01;5;7;19;23;31;36;1
2025-09-24;9;10;11;23;29;35;4
2025-09-17;26;31;33;34;37;44;2
2025-09-10;9;11;16;23;34;39;5
2025-09-03;2;3;4;7;36;46;2
2025-08-27;1;8;12;18;28;45;4
2025-08-20;2;21;25;26;41;44;4
2025-08-13;11;16;25;30;40;44;1
2025-08-06;2;5;9;12;24;31;5
2025-07-30;11;18;19;38;42;47;5
2025-07-23;7;10;18;39;40;48;5
2025-07-16;1;2;9;14;29;46;2
2025-07-09;22;35;36;39;44;47;2
2025-07-02;1;14;25;27;35;46;5
2025-06-25;5;20;28;31;32;37;1
2025-06-18;7;13;19;37;38;46;3
2025-06-11;5;8;9;22;33;43;4
2025-06-04;16;20;26;27;28;39;3
2025-05-28;4;20;28;31;33;47;1
2025-05-21;10;19;28;32;40;48;5
2025-05-14;16;17;24;28;36;43;3
2025-05-07;11;17;32;34;47;48;3
2025-04-30;7;8;13;18;22;44;4
2025-04-23;4;13;14;22;33;34;2
2025-04-16;7;13;14;15;20;24;3
2025-04-09;2;3;9;18;26;32;2
2025-04-02;19;20;23;35;38;43;3
2025-03-26;1;5;9;10;34;41;2
2025-03-19;2;14;17;21;37;38;4
2025-03-12;4;5;9;16;24;31;4
2025-03-05;1;14;19;28;29;47;3
2025-02-26;2;5;9;21;33;34;1
2025-02-19;12;23;24;35;40;45;4
2025-02-12;23;31;33;35;36;39;1
2025-02-05;6;18;23;24;25;32;4
2025-01-29;17;21;22;35;41;48;1
2025-01-22;9;24;32;38;45;46;2
2025-01-15;1;33;36;37;40;47;2
2025-01-08;9;17;18;23;33;37;3
2025-01-01;9;15;27;31;42;44;3
